tweet_author,overall_polarity
Francis Alexander,positive
Cision News,positive
Daniel Macdonald,positive
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Latika,negative
I Malati Invisibili,negative
AustralianPrescriber,negative
Emergency Live,negative
Investor News,negative
Investor News,negative
Benigno Piñera,negative
Breaking News,negative
MD Anderson Cancer Center,negative
"Maria Badillo, MSN RN OCN CCRP",negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
I Malati Invisibili,negative
WCM Lymphoma,negative
Emilio Mordini,negative
Karrie Esther Moen,negative
Jill Feldman,negative
SAyub Mazher,negative
Liz Highleyman,negative
Liz Highleyman,negative
A.n.n.,negative
Liz Highleyman,negative
dubai GlobalNews,negative
OncLive.com,negative
OncLive.com,negative
OncLive.com,positive
Lymphoma Papers,negative
Lymphoma Papers,negative
Health Radio Online,negative
Talha Badar,negative
Pacientesconidp,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
OncLive.com,negative
OncLive.com,negative
Adry Pm,negative
Om Prakash Sharma,negative
ThePrint Science,negative
ak,negative
ThePrintHindi,negative
Mohd wamique,negative
OncLive.com,negative
Ronald M. Chavin,negative
Prof Archie D'Souza,negative
Dr. Divyesh B Mundra 🇮🇳,negative
Himani Chandna,negative
GK,negative
seshutatikola,negative
ThePrintIndia,negative
Oncology Nursing News,negative
الــسـيـــســـى حبيــــــــــــب الملايين,negative
WhiteCoats,negative
أموال الغد,negative
صحتك 24,negative
Oncology Board,positive
Air Medical Today,negative
ᗰOOᑎ.,negative
Afex Capital,negative
Stocktrend,negative
joe ele,negative
Jeremy,negative
Breaking Market News,negative
First Squawk,negative
OncLive.com,positive
Mark Sparta,negative
Raman Pathak (Quant Trader),negative
Medical Dialogues,negative
Middle-East & Pakistan Times of News,negative
"dtw Research, Inc",negative
"Mike Thompson, MD, PhD, FASCO",negative
dough,negative
AustralianPrescriber,negative
Vinay Prasad MD MPH,negative
"Mike Thompson, MD, PhD, FASCO",negative
"Mike Thompson, MD, PhD, FASCO",negative
I Malati Invisibili,negative
Javed Khan,negative
The ASCO Post,negative
Ellen Kendall,positive
Blood Journal,negative
FarmaciaHUAP,negative
DrugPatentWatch,negative
ecancer,negative
WCM Lymphoma,negative
AustralianPrescriber,negative
Jon,positive
Benlazar S.M Aminé,negative
Eduardo Flavio Oliveira Ribeiro,positive
CURE Magazine,negative
TAP Clinical Trial Network,negative
"Raul Cordoba, MD, PhD",negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
The ASCO Post,negative
医療ニュース速報,negative
AustralianPrescriber,negative
MedTech! PULSE,negative
National Comprehensive Cancer Network (NCCN),negative
ケアネット《公式》,negative
ahealthierphilly,negative
Medivizor,negative
Redacción Médica,negative
おーた,negative
Medivizor,negative
hemomeeting,negative
Ciencia,negative
ice9,negative
Lab Tests Online ES,negative
Dr.Virendra Singh,negative
AustralianPrescriber,negative
dough,negative
"Michael Wang, MD",negative
Lu Chen #nobias,negative
ミオハン,negative
Medivizor,negative
EmatoInfo,negative
hemomeeting,negative
ahealthierphilly,negative
AustralianPrescriber,negative
Kevin Marcelo,negative
DDNews Online,negative
SurvivorNet,positive
Corriere Nazionale,negative
NEWSRELEA.SE,negative
中井亮太郎,negative
PR TIMESビジネス,negative
PR TIMESニュース,negative
OyeCricket.com,negative
Revista Caretas,negative
OncLive.com,positive
LymphomaAction,positive
VJHemOnc,positive
AustralianPrescriber,negative
ahealthierphilly,negative
OncLive.com,positive
FarmaciaHUAP,negative
CLL Advocates Network,negative
Lymphoma Hub,negative
Revista Caretas,negative
久保　一夫,negative
Revista Caretas,negative
Revista Caretas,negative
"Michael Wang, MD",positive
EmatoInfo,negative
Marseille Immunopole,negative
Lymphoma Hub,negative
ToxiVen,negative
Revista Caretas,negative
OncLive.com,negative
CzeekV,negative
HLC,negative
Revista Caretas,negative
Marseille Immunopole,positive
Apostz,negative
Medical News Bulletin,negative
Clinical Cancer Research,negative
WCM Englander Institute for Precision Medicine,negative
pharmanewsintel,negative
Saber Vivir,negative
DemiurgeTech,negative
EmatoInfo,negative
Revista Caretas,negative
WISH-TV,negative
CCO_Hepatitis,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
McKesson Corporation,negative
EmatoInfo,negative
teens get cancer too,negative
Pharma News,positive
Pharma News,positive
AustralianPrescriber,negative
Jerry Lee,negative
Kit-Kay Mak,positive
abej,negative
Jeff Karp (Pronouns: he/him/his),negative
Andreas Charalambous,negative
Saber Vivir,negative
The Cancer Letter,negative
iflyplaces,positive
The ASCO Post,negative
MedNet,negative
ahealthierphilly,negative
TRiBECA® Knowledge,negative
Drug Discovery World,negative
Emanuel Vila,negative
Emanuel Vila,negative
Living Safely,negative
León Waxtein  M.,negative
Rafael H Carrasco,negative
Beyond Conventional Cancer Therapies,negative
Rock&Pop 94.1,negative
BiopharmaAsia,negative
1stOncology,positive
Roberto Bonin,negative
Julie Lakeview,negative
Tecnomedicina,negative
ZC,negative
Swedish Biotech,negative
Investor News,positive
Financial Carnivores,negative
ケアネット《公式》,negative
Pharmacutical Daily,positive
Crwe World,negative
みつうろこ,negative
BW_France,negative
Business Wire Dutch,negative
Business Wire-German,negative
BusinessWire-Spanish,negative
Latest News from Business Wire,positive
BusinessWire-Italian,negative
Antonio Guerrero,negative
医療ニュース速報,negative
jorge duque,negative
Haberdar,negative
BirGün Gazetesi,negative
Hikmet Geçkil 🐞,negative
Randall Brenneman,negative
Apunte Digital,negative
Medicina e Informazione,negative
Haberdar,negative
Angelo Piemontese,negative
Meedo,negative
BirGün Gazetesi,negative
森　勇一,negative
LYMPHOMA & MYELOMA CONNECT,negative
Andreas Sofroniou,negative
Stephen Richards,positive
Policenama,negative
森　勇一,negative
Hamid Mazloomi,negative
Apunte Digital,negative
Apunte Digital,negative
VirginSlayerIncelius,positive
Science Magazine,positive
Karan,negative
Toby Eyre,negative
"Pat Salber, MD, MBA",negative
Stephanie,negative
"Ruth Ann Crystal, MD",negative
Cambio16,negative
Apunte Digital,negative
Apunte Digital,negative
1stOncology,negative
Cuaderno de Ciencia,negative
Benlazar S.M Aminé,negative
Marcela SaebLima,positive
GraniteShares Europe,negative
Smart Industry News,negative
ahealthierphilly,negative
VirginSlayerIncelius,positive
Alejandro Sifuentes,negative
Science Magazine,positive
Cambio16,negative
I Am Biotech,negative
4ID SCIENCE,negative
Ph,negative
ACFC,negative
Darío Hiven,negative
Yerson Gutierrez Ch.,negative
Apunte Digital,negative
Muzaffar Qazilbash,negative
Apunte Digital,negative
AustralianPrescriber,negative
WCM Lymphoma,negative
lpd,negative
SAFH,negative
Diario HOY,negative
MPR,negative
TAP Clinical Trial Network,negative
Stray,negative
Aló Ciudadano,negative
Apunte Digital,negative
Apunte Digital,negative
HealthDay News,negative
NASDAQ,negative
EuropaWire,positive
EuropaWire,negative
EuropaWire,negative
Cerca Soluzioni Cruciverba,negative
Matt Willemsen,negative
Sociedad Química de Panamá,negative
Life Science Sweden,negative
Medinews,negative
Ritrattodellasalute,negative
Company News HQ,negative
Luis M Ruiz,negative
Ana López,negative
Aló Ciudadano,negative
"Freddy Pizart, R.N.",negative
Cambio16,negative
Cision News,negative
Daniel Lopez,negative
Voz Entrerriana,negative
himanshu singh,negative
Function_1st,negative
MEMEO,negative
Aldo Solís 💢,negative
Radio Chaparrastique 106.1 FM,negative
Carlos Arturo Álvarez Moreno,negative
Felix A.,negative
fausto hiraldo zabal,negative
Apunte Digital,negative
Mercy Durango,negative
Barricada Azul,negative
Daniel Murriel,negative
Latina.pe,negative
Enrique López 😷💨⬅️➡️📈C02 #COVIDseRESPIRA Covid0,negative
WenaChile,negative
Vasyl Pawlowsky,positive
Medscape Pharmacists,negative
Miguel Angel Grullon C.,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Victoria Mendoza,negative
LEON ***,negative
ArabMedical.Pro,negative
Victoria Recche,negative
"John Damianos, M.D.",negative
ahmet duran,negative
LEON ***,negative
Medscape,negative
"Pat Salber, MD, MBA",negative
Stray,negative
El Dínamo,negative
Cambio16,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Apunte Digital,negative
Página Central Jujuy,negative
A construir 1país!,negative
El Grillo de Yucatán,negative
Benjamín Núñez Vega,negative
Alejandro (Alex) Barbagelata,negative
Daniel Lopez,negative
Manuel Muro,negative
Radio Mambi 710 🎙,negative
Óscar Peraza,negative
OPR,negative
ITR Noticias - Oficial,negative
Noticias 4Visión,negative
Loreto Noticias,negative
Patricio Sánchez 🐍,negative
Rock&Pop 94.1,negative
pawel,negative
Gupta Gastro,positive
Móet,negative
"Cate Shanahan, MD",negative
Karlos (wear a fucking mask),negative
Tweets,negative
Pedro Vallín,negative
Linda Dudek 🍑✍🏼,negative
NEWSRELEA.SE,negative
José Manuel Bautista,negative
MARIA da GLORIA,negative
+Recortes Salvajes,negative
natsume | 乾癬 | ヘルスケア,negative
David García Marco,negative
Gorka Orive,negative
joan carles contel,negative
医療ニュース速報,negative
PR TIMESビジネス,negative
AaMaldives,negative
PR TIMESニュース,negative
AustralianPrescriber,negative
Saud Nasser Aldosery,negative
CEPROFAR - Centro de Profesionales Farmacéuticos,negative
Convenience Store News.,positive
Marc Kaufman MD MS 😷,negative
AAA,positive
Evan Kirstel $B2B,positive
HealthIT and Biotech,negative
Truth Studio,negative
Teresa MASIA PERALES,negative
MySmallCap,negative
Barbara Lazarus,negative
Duarte ⭕,negative
Bernard A Fox,positive
JT Badenov,positive
Denise,negative
Sharon K. Gilbert,negative
GeekinfoNow,negative
Benyam Muluneh,negative
OncLive.com,negative
Chris Smith,negative
News_Actualizadas,negative
BGR.com,negative
Noah Swint,negative
ASCO Publications,negative
13WREX,negative
univadis_es,negative
Sweta_Entomon 🇮🇳 #StaySafe #😷,negative
Theriaque_officiel,negative
Diario de Chiapas,negative
Syrian is not white,negative
atoxquiteran,positive
Erwin Loh,negative
"Carlos F. Camargo, Ph.D. | DRE #01988431",negative
Josh Marshall,negative
Crwe World,negative
Mundo Sano,negative
BIOCIENCIA,negative
ahealthierphilly,negative
Para,negative
OncLive.com,negative
Andy Vermaut,negative
ann marie,negative
Colorado Headlines,negative
Oncology Nursing News,positive
Vanessa K Abrahamson,negative
Immuno-Oncology,negative
PSBR,negative
"Pat Salber, MD, MBA",negative
"eCare Vault, Inc.",positive
Pierre Bézier,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Epidemiology Publishers Feed,negative
Pharmacy Now!,negative
London Strategy™,negative
The PMI (Pharmaceutical Managers' Institute),positive
Health Evangelists,positive
飯塚病院 血液内科,negative
Daily Coronavirus News 😷🌍📈,negative
PhillyVoice,negative
Around The Globe News,negative
Around The Globe News,negative
Phil from Montreal,negative
SitaravammaputrSamba,negative
"Plony, M.D. for Trump 🇺🇸🇮🇱",negative
dough,positive
Waggoner Lab,negative
Mónica,negative
Redivex News,positive
Thiago Carvalho,negative
H24 News Canada FR,negative
Le Journal de Montréal,negative
Cancer Research Institute,negative
Martin Capote,negative
Giuseppe LiMandri,negative
victor torres,negative
CURE Magazine,negative
Bonny Wright🐝,negative
SalvadorSchwartzmann,negative
Amir,negative
Lou,negative
Sandeep Saluja,positive
Peter Nash,negative
Pharmaceutical,negative
Paul,negative
nigelj,negative
Medicalnewser.com,negative
Medicalnewser.com,negative
PhillyVoice,negative
BioCalifornia,negative
MediHelp Solutions,negative
Zenopa Recruitment,negative
David Ledger,negative
denni 🌼 #evindekal #stayhome #restaacasa,negative
Noticias Énfasis,negative
ahealthierphilly,negative
PharmaTimes,negative
Серж🤦Самсонов,negative
PharmaStar,negative
ahealthierphilly,negative
Global Business Alliance,negative
Living Safely,negative
"eCare Vault, Inc.",negative
"Synergy Healthcare, LLC",negative
Cheryl Lubbert,positive
NCI Media Relations,negative
Hashim,negative
Krishan Maggon,positive
Meghan Mott,negative
EBD Group,negative
ReFigure,negative
satokun,negative
RVGSM,negative
Dr Darren R Flower,negative
David Ledger,positive
Amesh Adalja,negative
john markarian,negative
LiberalFish,negative
Cheryl Amber Dotson,negative
Nnankya,negative
Barry Curry,negative
****,positive
Journal of Clinical and Cellular Immunology,negative
ユーエスさん🇺🇸米国株投資🍺🥃🍷🍶,negative
MediHelp Solutions,negative
PharmaShots - Incisive news in 3 shots,negative
Jon Angelo,negative
Everything Pharma,negative
Pharma Trader,negative
Investor News,positive
Firstpost,positive
Breaking News,positive
SiteFocus,negative
European Pharmaceutical Review,negative
@mariuskarma,negative
Pharmafocus,negative
Sharon K. Gilbert,positive
Roots Analysis,negative
SiteFocus,negative
KFL 🕊️🤍🕊️,negative
Forbes Tech,negative
Deutsches Ärzteblatt,negative
PharmaCrowd,negative
Career Biotech,negative
Wind Rose,negative
Matt Willemsen,positive
ClinicalTrialsArena,negative
sakalmedia,negative
Stray,negative
arthur james lobo,negative
Journal of Cancer Research and Immuno-Oncology,negative
INDoximity 🇮🇳,negative
El Diario NTR Guadalajara,negative
Hakeem Shalaby,negative
silex知の文献サービス,negative
NanoTrac Technologies,positive
SY Investing,negative
Health Evangelists,negative
Health Evangelists,negative
Laboratorio de Genética Molecular. FO. UNAM,negative
Nathan Vardi,negative
#DestroyTheAadhaar    TwiLightOFTheGODS,negative
WaYs2rOcK,negative
ExBulletin,positive
Outbreak News,negative
Nonya Bidniss,positive
Arsalan Ashraf,negative
Nazish Jawad,negative
Roman Jerala,negative
NonSell.com,negative
Salud juntos,negative
The Daily Protein,negative
primo8k,negative
Dr L Boominathan PhD,negative
Armin Hamidian,negative
Armin Hamidian,negative
masudkarim মাসুদকরিম,negative
MW Gunter,negative
Vishnu Live,negative
Tom Andrews💙,negative
